bin,k,q_squared,t,x_b,W,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,sig_BSA,link
,10.6,1.17736,-0.559525,0.0961437,,4.49166,,,,,,-0.156739,0.0912193,
,10.6,1.16435,-0.559882,0.0978248,,4.68683,,,,,,-0.0585814,0.0782172,
,10.6,1.1616,-0.560881,0.102275,,4.87548,,,,,,-0.0775793,0.0699015,
,10.6,1.14741,-0.570375,0.105993,,5.05518,,,,,,-0.109989,0.0672654,
,10.6,1.15525,-0.527525,0.102085,,5.25065,,,,,,-0.174642,0.0730375,
,10.6,1.17527,-0.49437,0.083122,,5.45178,,,,,,-0.125972,0.0468792,
,10.6,1.18182,-0.523626,0.0845107,,5.63522,,,,,,-0.138529,0.0216395,
,10.6,1.17039,-0.590121,0.097283,,5.81052,,,,,,-0.0688859,0.015368,
,10.6,1.12178,-0.636108,0.107828,,5.95532,,,,,,-0.100785,0.0286473,
,10.6,1.22913,-0.497658,0.160428,,0.104143,,,,,,0.0192736,0.0364247,
,10.6,1.22615,-0.575049,0.146828,,0.276666,,,,,,0.0503379,0.0305856,
,10.6,1.21785,-0.612999,0.156225,,0.460553,,,,,,0.158211,0.0743348,
,10.6,1.13591,-0.631304,0.161458,,0.669007,,,,,,-0.0543047,0.0751093,
,10.6,1.18005,-0.626027,0.159885,,0.84447,,,,,,0.171522,0.0642351,
,10.6,1.20597,-0.614117,0.157903,,1.02315,,,,,,0.23415,0.0713848,
,10.6,1.18866,-0.609171,0.156862,,1.24743,,,,,,0.228971,0.0949233,
,10.6,1.19865,-0.606874,0.166412,,1.65816,,,,,,0.139941,0.125954,
,10.6,1.17526,-0.557114,0.167617,,2.12895,,,,,,-0.0774756,0.128495,
,10.6,1.1982,-0.5641,0.164115,,2.47441,,,,,,0.291823,0.0813648,
,10.6,1.20387,-0.55621,0.159002,,2.72778,,,,,,0.0315649,0.110745,
,10.6,1.22755,-0.574394,0.159884,,2.92211,,,,,,-0.0188872,0.115662,
,10.6,1.21566,-0.575641,0.15774,,3.11912,,,,,,-0.028082,0.118077,
,10.6,1.20041,-0.594555,0.167692,,3.3285,,,,,,-0.160986,0.109496,
,10.6,1.19744,-0.588704,0.16505,,3.57612,,,,,,0.100387,0.0951628,
,10.6,1.19243,-0.545768,0.158671,,3.84603,,,,,,0.128846,0.103068,
,10.6,1.19505,-0.602608,0.165294,,4.33015,,,,,,0.144881,0.137362,
,10.6,1.19181,-0.60654,0.161085,,4.65788,,,,,,0.198461,0.102488,
,10.6,1.18063,-0.612102,0.164418,,4.86366,,,,,,-0.225531,0.142514,
,10.6,1.21705,-0.593382,0.160298,,5.06493,,,,,,-0.210363,0.123943,
,10.6,1.20037,-0.577721,0.161484,,5.24751,,,,,,-0.0701404,0.0863065,
,10.6,1.19264,-0.559169,0.159555,,5.43444,,,,,,-0.142176,0.0764416,
,10.6,1.18503,-0.556745,0.17074,,5.616,,,,,,-0.26477,0.0679061,
