bin,k',k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,3.53,5.7572,1.608,-0.323,0.391,,37.5,,,,,,0.018,0.0087,0.0087,0.0038,0,
,3.53,5.7572,1.608,-0.323,0.391,,52.5,,,,,,0.018,0.0066,0.0066,0.0078,0,
,3.53,5.7572,1.608,-0.323,0.391,,67.5,,,,,,0.0139,0.0054,0.0054,0.0004,0.0046,
,3.53,5.7572,1.608,-0.323,0.391,,82.5,,,,,,0.0057,0.0046,0.0046,0.0036,0,
,3.53,5.7572,1.608,-0.323,0.391,,97.5,,,,,,0.0006,0.0042,0.0042,0.0045,0,
,3.53,5.7572,1.608,-0.323,0.391,,112.5,,,,,,0.0063,0.0039,0.0039,0.0013,0.0014,
,3.53,5.7572,1.608,-0.323,0.391,,127.5,,,,,,0.002,0.0039,0.0039,0.0001,0.0021,
,3.53,5.7572,1.608,-0.323,0.391,,142.5,,,,,,0.0012,0.0045,0.0045,0.0006,0.003,
,3.53,5.7572,1.608,-0.323,0.391,,157.5,,,,,,0.0059,0.0056,0.0056,0.004,0.0007,
,3.53,5.7572,1.608,-0.323,0.391,,172.5,,,,,,-0.0018,0.0066,0.0066,0.0023,0,
,3.53,5.7572,1.608,-0.323,0.391,,187.5,,,,,,-0.0139,0.0061,0.0061,0,0.0042,
,3.53,5.7572,1.608,-0.323,0.391,,202.5,,,,,,0.0018,0.0055,0.0055,0.002,0.0021,
,3.53,5.7572,1.608,-0.323,0.391,,217.5,,,,,,-0.0098,0.0048,0.0048,0.0012,0.0032,
,3.53,5.7572,1.608,-0.323,0.391,,232.5,,,,,,0.0018,0.0039,0.0039,0.0018,0,
,3.53,5.7572,1.608,-0.323,0.391,,247.5,,,,,,-0.0117,0.0041,0.0041,0.0024,0,
,3.53,5.7572,1.608,-0.323,0.391,,262.5,,,,,,-0.015,0.0043,0.0043,0.0004,0.0015,
,3.53,5.7572,1.608,-0.323,0.391,,277.5,,,,,,-0.0121,0.0046,0.0046,0.0016,0.0021,
,3.53,5.7572,1.608,-0.323,0.391,,292.5,,,,,,-0.0042,0.0052,0.0052,0,0.0073,
,3.53,5.7572,1.608,-0.323,0.391,,307.5,,,,,,0.0018,0.0067,0.0067,0,0.0042,
,3.53,5.7572,1.608,-0.323,0.391,,322.5,,,,,,-0.015,0.0094,0.0094,0.0079,0,
,3.53,5.7572,1.608,-0.323,0.391,,337.5,,,,,,-0.0087,0.0128,0.0128,0.0095,0,
,3.53,5.7572,1.608,-0.323,0.391,,352.5,,,,,,-0.0102,0.0155,0.0155,0,0.0072,
,3.53,5.7572,1.633,-0.37,0.399,,7.5,,,,,,0.0127,0.0207,0.0207,0,0.0162,
,3.53,5.7572,1.633,-0.37,0.399,,22.5,,,,,,0.0257,0.0163,0.0163,0.0026,0.0013,
,3.53,5.7572,1.633,-0.37,0.399,,37.5,,,,,,0.0252,0.0112,0.0112,0,0.0121,
,3.53,5.7572,1.633,-0.37,0.399,,52.5,,,,,,0.0163,0.0083,0.0083,0.0026,0.0018,
,3.53,5.7572,1.633,-0.37,0.399,,67.5,,,,,,0.0117,0.0062,0.0062,0,0.0068,
,3.53,5.7572,1.633,-0.37,0.399,,82.5,,,,,,0.0069,0.0049,0.0049,0.0006,0.0022,
,3.53,5.7572,1.633,-0.37,0.399,,97.5,,,,,,0.0189,0.0047,0.0047,0.0014,0.0023,
,3.53,5.7572,1.633,-0.37,0.399,,112.5,,,,,,0.0022,0.0047,0.0047,0.0048,0.0008,
,3.53,5.7572,1.633,-0.37,0.399,,127.5,,,,,,0.0071,0.0058,0.0058,0.0003,0.0072,
,3.53,5.7572,1.633,-0.37,0.399,,142.5,,,,,,-0.0015,0.0071,0.0071,0.0044,0.0028,
,3.53,5.7572,1.633,-0.37,0.399,,157.5,,,,,,0.0091,0.0109,0.0109,0.0035,0.004,
,3.53,5.7572,1.633,-0.37,0.399,,172.5,,,,,,-0.0183,0.0235,0.0235,0,0.0341,
,3.53,5.7572,1.633,-0.37,0.399,,187.5,,,,,,-0.0281,0.0155,0.0155,0.0056,0.007,
,3.53,5.7572,1.633,-0.37,0.399,,202.5,,,,,,0.0006,0.009,0.009,0,0.0081,
,3.53,5.7572,1.633,-0.37,0.399,,217.5,,,,,,0.0001,0.0074,0.0074,0.0023,0.0008,
,3.53,5.7572,1.633,-0.37,0.399,,232.5,,,,,,-0.0019,0.0056,0.0056,0.0023,0.0002,
,3.53,5.7572,1.633,-0.37,0.399,,247.5,,,,,,-0.0109,0.0051,0.0051,0.0008,0.0013,
,3.53,5.7572,1.633,-0.37,0.399,,262.5,,,,,,-0.0055,0.0046,0.0046,0.0003,0.0051,
,3.53,5.7572,1.633,-0.37,0.399,,277.5,,,,,,-0.0058,0.0049,0.0049,0.0009,0.0005,
,3.53,5.7572,1.633,-0.37,0.399,,292.5,,,,,,-0.0117,0.0061,0.0061,0.0092,0,
,3.53,5.7572,1.633,-0.37,0.399,,307.5,,,,,,-0.0117,0.0078,0.0078,0.0026,0.0009,
,3.53,5.7572,1.633,-0.37,0.399,,322.5,,,,,,-0.0149,0.0117,0.0117,0.0067,0.0005,
,3.53,5.7572,1.633,-0.37,0.399,,337.5,,,,,,-0.0287,0.0201,0.0201,0.0161,0.0006,
,3.53,5.7572,1.633,-0.37,0.399,,352.5,,,,,,-0.0435,0.0231,0.0231,0.0082,0,
