bin,k',k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,2.34,5.7572,2.348,-0.279,0.368,,232.5,0.0283,0.0016,0.0016,0,0.001,-0.0047,0.0021,0.0021,0,0.0008,
,2.34,5.7572,2.348,-0.279,0.368,,247.5,0.0272,0.0017,0.0017,0.0013,0.0001,-0.0038,0.0021,0.0021,0.0009,0,
,2.34,5.7572,2.348,-0.279,0.368,,262.5,0.0317,0.0018,0.0018,0.0001,0.001,-0.0105,0.0024,0.0024,0,0.003,
,2.34,5.7572,2.348,-0.279,0.368,,277.5,0.0351,0.002,0.002,0.0001,0.0003,-0.0098,0.0026,0.0026,0.0021,0,
,2.34,5.7572,2.348,-0.279,0.368,,292.5,0.0418,0.0022,0.0022,0.0012,0.0001,-0.011,0.0029,0.0029,0.001,0.0009,
,2.34,5.7572,2.348,-0.279,0.368,,307.5,0.0514,0.0027,0.0027,0,0.0026,-0.0158,0.0035,0.0035,0.0017,0.0005,
,2.34,5.7572,2.348,-0.279,0.368,,322.5,0.0514,0.0029,0.0029,0,0.0049,-0.0094,0.0038,0.0038,0.0021,0,
,2.34,5.7572,2.348,-0.279,0.368,,337.5,0.0568,0.0035,0.0035,0,0.0032,-0.005,0.0047,0.0047,0.0008,0.0017,
,2.34,5.7572,2.348,-0.279,0.368,,352.5,0.06,0.0041,0.0041,0.002,0.0011,0.0027,0.0055,0.0055,0,0.0038,
,2.34,5.7572,2.36,-0.325,0.371,,7.5,0.0648,0.0058,0.0058,0.0005,0.0019,0.0017,0.0073,0.0073,0.0029,0,
,2.34,5.7572,2.36,-0.325,0.371,,22.5,0.0602,0.0049,0.0049,0,0.0039,0.0044,0.0062,0.0062,0,0.0043,
,2.34,5.7572,2.36,-0.325,0.371,,37.5,0.0423,0.0034,0.0034,0.0009,0.0006,0.0019,0.0044,0.0044,0,0.0053,
,2.34,5.7572,2.36,-0.325,0.371,,52.5,0.0392,0.003,0.003,0.0031,0,0.0096,0.0038,0.0038,0,0.0023,
,2.34,5.7572,2.36,-0.325,0.371,,67.5,0.0368,0.0026,0.0026,0.003,0,0.015,0.0034,0.0034,0,0.0014,
,2.34,5.7572,2.36,-0.325,0.371,,82.5,0.0273,0.0021,0.0021,0,0.001,0.0093,0.0026,0.0026,0.0017,0.0002,
,2.34,5.7572,2.36,-0.325,0.371,,97.5,0.0251,0.0019,0.0019,0,0.0008,0.0099,0.0024,0.0024,0.0013,0,
,2.34,5.7572,2.36,-0.325,0.371,,112.5,0.0243,0.0017,0.0017,0.0004,0.0007,0.0037,0.0022,0.0022,0.0005,0.0003,
,2.34,5.7572,2.36,-0.325,0.371,,127.5,0.0219,0.0016,0.0016,0.0005,0.0004,0.0066,0.002,0.002,0.0004,0,
,2.34,5.7572,2.36,-0.325,0.371,,142.5,0.0203,0.0015,0.0015,0,0.0006,0.0036,0.0019,0.0019,0,0.0015,
,2.34,5.7572,2.36,-0.325,0.371,,157.5,0.019,0.0015,0.0015,0.0002,0.0002,0.0055,0.0018,0.0018,0.0008,0.0002,
,2.34,5.7572,2.36,-0.325,0.371,,172.5,0.0204,0.0016,0.0016,0.0009,0,0.0027,0.0019,0.0019,0.0001,0.0009,
,2.34,5.7572,2.36,-0.325,0.371,,187.5,0.0181,0.0015,0.0015,0.0003,0.0006,-0.0006,0.0019,0.0019,0.0004,0.0005,
,2.34,5.7572,2.36,-0.325,0.371,,202.5,0.0228,0.0016,0.0016,0,0.0017,-0.0042,0.002,0.002,0.0011,0,
,2.34,5.7572,2.36,-0.325,0.371,,217.5,0.0191,0.0015,0.0015,0,0.001,-0.0052,0.0018,0.0018,0.0004,0.0007,
,2.34,5.7572,2.36,-0.325,0.371,,232.5,0.0219,0.0015,0.0015,0,0.0015,-0.0052,0.0019,0.0019,0.0014,0,
,2.34,5.7572,2.36,-0.325,0.371,,247.5,0.0208,0.0016,0.0016,0,0.0015,0.0006,0.0021,0.0021,0.0009,0.0004,
,2.34,5.7572,2.36,-0.325,0.371,,262.5,0.0256,0.0019,0.0019,0.0003,0.0001,-0.0068,0.0024,0.0024,0.0004,0.0017,
,2.34,5.7572,2.36,-0.325,0.371,,277.5,0.0315,0.0021,0.0021,0,0.0012,-0.0142,0.0027,0.0027,0,0.0015,
,2.34,5.7572,2.36,-0.325,0.371,,292.5,0.0364,0.0024,0.0024,0,0.0019,-0.0096,0.0031,0.0031,0,0.0036,
,2.34,5.7572,2.36,-0.325,0.371,,307.5,0.04,0.0027,0.0027,0,0.0018,-0.0106,0.0036,0.0036,0.0007,0.0006,
,2.34,5.7572,2.36,-0.325,0.371,,322.5,0.0526,0.0034,0.0034,0,0.0021,-0.0142,0.0045,0.0045,0.0044,0,
,2.34,5.7572,2.36,-0.325,0.371,,337.5,0.0557,0.0046,0.0046,0,0.0082,-0.0005,0.0059,0.0059,0.0007,0.0026,
,2.34,5.7572,2.36,-0.325,0.371,,352.5,0.0591,0.0057,0.0057,0.0032,0,-0.0005,0.0073,0.0073,0.0029,0.0015,
,2.34,5.7572,2.375,-0.372,0.373,,7.5,0.0606,0.0084,0.0084,0,0.0082,0.0094,0.0109,0.0109,0.002,0.0025,
,2.34,5.7572,2.375,-0.372,0.373,,22.5,0.0548,0.0063,0.0063,0,0.0033,0.0064,0.0082,0.0082,0.0046,0.0019,
,2.34,5.7572,2.375,-0.372,0.373,,37.5,0.0412,0.0041,0.0041,0.0022,0.0014,0.01,0.0053,0.0053,0,0.0036,
,2.34,5.7572,2.375,-0.372,0.373,,52.5,0.0388,0.0033,0.0033,0.0014,0,0.0218,0.0043,0.0043,0.0016,0.0004,
,2.34,5.7572,2.375,-0.372,0.373,,67.5,0.0295,0.0026,0.0026,0.0014,0.0001,0.0062,0.0033,0.0033,0,0.0035,
,2.34,5.7572,2.375,-0.372,0.373,,82.5,0.0238,0.0022,0.0022,0.0006,0.0002,0.0093,0.0027,0.0027,0.001,0.0005,
