bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,5.55,1.75,0.363,0.361,,7.5,,,,,,0.00148,0.0052,0.0052,,,
,5.55,1.75,0.363,0.361,,22.5,,,,,,0.0071,0.0045,0.0045,,,
,5.55,1.75,0.363,0.361,,37.5,,,,,,0.00994,0.0038,0.0038,,,
,5.55,1.75,0.363,0.361,,52.5,,,,,,0.00722,0.0033,0.0033,,,
,5.55,1.75,0.363,0.361,,67.5,,,,,,0.0103,0.0031,0.0031,,,
,5.55,1.75,0.363,0.361,,82.5,,,,,,0.00888,0.0031,0.0031,,,
,5.55,1.75,0.363,0.361,,97.5,,,,,,0.00622,0.0031,0.0031,,,
,5.55,1.75,0.363,0.361,,112.5,,,,,,0.00422,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,127.5,,,,,,-0.000619,0.0029,0.0029,,,
,5.55,1.75,0.363,0.361,,142.5,,,,,,0.00559,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,157.5,,,,,,0.000878,0.0035,0.0035,,,
,5.55,1.75,0.363,0.361,,172.5,,,,,,-0.00333,0.0039,0.0039,,,
,5.55,1.75,0.363,0.361,,187.5,,,,,,0.00106,0.004,0.004,,,
,5.55,1.75,0.363,0.361,,202.5,,,,,,0.00229,0.0035,0.0035,,,
,5.55,1.75,0.363,0.361,,217.5,,,,,,-0.00317,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,232.5,,,,,,0.000798,0.0029,0.0029,,,
,5.55,1.75,0.363,0.361,,247.5,,,,,,-0.00175,0.0031,0.0031,,,
,5.55,1.75,0.363,0.361,,262.5,,,,,,-0.00648,0.0032,0.0032,,,
,5.55,1.75,0.363,0.361,,277.5,,,,,,-0.00696,0.0033,0.0033,,,
,5.55,1.75,0.363,0.361,,292.5,,,,,,-0.00459,0.0032,0.0032,,,
,5.55,1.75,0.363,0.361,,307.5,,,,,,-0.00966,0.0034,0.0034,,,
,5.55,1.75,0.363,0.361,,322.5,,,,,,-0.013,0.0037,0.0037,,,
,5.55,1.75,0.363,0.361,,337.5,,,,,,-0.00622,0.0044,0.0044,,,
,5.55,1.75,0.363,0.361,,352.5,,,,,,-0.0063,0.0051,0.0051,,,
,5.55,1.98,0.182,0.357,,7.5,,,,,,0.000828,0.0067,0.0067,,,
