bin,k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,,1.13,-0.446,0.125,,51.8,0.817795,0.0369567,0.0369567,0.0509095,0.0509095,0.0649524,0.0275657,0.0275657,0.00923789,0.00923789,
,,1.13,-0.446,0.125,,66.9,0.496174,0.0333689,0.0333689,0.032749,0.032749,0.0802902,0.0258591,0.0258591,0.00619721,0.00619721,
,,1.131,-0.446,0.125,,82,0.307991,0.0248439,0.0248439,0.0292446,0.0292446,0.023001,0.0199189,0.0199189,0.0151861,0.0151861,
,,1.131,-0.446,0.125,,97.1,0.218145,0.01602,0.01602,0.0176416,0.0176416,0.0354409,0.0126574,0.0126574,0.00881276,0.00881276,
,,1.131,-0.446,0.125,,112.2,0.188129,0.0146499,0.0146499,0.0199989,0.0199989,0.0612355,0.0122807,0.0122807,0.00962121,0.00962121,
,,1.131,-0.446,0.125,,127.2,0.179253,0.0188259,0.0188259,0.0132623,0.0132623,0.0204974,0.0152361,0.0152361,0.00386266,0.00386266,
,,1.131,-0.446,0.125,,142.3,0.136888,0.0154402,0.0154402,0.0153123,0.0153123,0.0138845,0.012717,0.012717,0.00758305,0.00758305,
,,1.131,-0.446,0.125,,157.4,0.153828,0.015122,0.015122,0.0115283,0.0115283,-0.00998505,0.0121406,0.0121406,0.00352017,0.00352017,
,,1.131,-0.446,0.125,,172.5,0.133635,0.0132071,0.0132071,0.0114296,0.0114296,0.00647305,0.0105645,0.0105645,0.00288745,0.00288745,
,,1.131,-0.446,0.125,,187.5,0.118516,0.014544,0.014544,0.0116298,0.0116298,-0.00259382,0.0120688,0.0120688,0.00630911,0.00630911,
,,1.131,-0.446,0.125,,202.6,0.108608,0.0115807,0.0115807,0.0110748,0.0110748,-0.00746204,0.00989468,0.00989468,0.00652844,0.00652844,
,,1.131,-0.446,0.125,,217.7,0.176032,0.0173846,0.0173846,0.0163141,0.0163141,-0.0199173,0.013935,0.013935,0.00328712,0.00328712,
,,1.131,-0.446,0.125,,232.8,0.151473,0.0151737,0.0151737,0.0110768,0.0110768,0.00389572,0.0127099,0.0127099,0.00464415,0.00464415,
,,1.131,-0.446,0.125,,247.8,0.145533,0.0145597,0.0145597,0.0124714,0.0124714,-0.010778,0.012004,0.012004,0.00795159,0.00795159,
,,1.131,-0.446,0.125,,262.9,0.228118,0.0176657,0.0176657,0.0165579,0.0165579,-0.0369278,0.0141503,0.0141503,0.00356073,0.00356073,
,,1.131,-0.446,0.125,,278,0.293826,0.0185736,0.0185736,0.0190362,0.0190362,-0.0330602,0.0146186,0.0146186,0.00395372,0.00395372,
,,1.13,-0.446,0.125,,293.1,0.386997,0.0220016,0.0220016,0.0246834,0.0246834,-0.0879626,0.0172739,0.0172739,0.00642597,0.00642597,
,,1.13,-0.446,0.125,,308.2,0.662957,0.0385868,0.0385868,0.0421323,0.0421323,-0.0426315,0.0290605,0.0290605,0.0219681,0.0219681,
,,1.126,-0.451,0.125,,322.5,1.39112,0.0997755,0.0997755,0.0852932,0.0852932,-0.0897167,0.0753662,0.0753662,0.0257915,0.0257915,
,,1.125,-0.615,0.125,,22.9,0.910076,0.0689247,0.0689247,0.0603692,0.0603692,0.116021,0.0520797,0.0520797,0.0139754,0.0139754,
,,1.131,-0.602,0.126,,36.7,0.499811,0.0211358,0.0211358,0.0310921,0.0310921,0.0227332,0.0157149,0.0157149,0.00754331,0.00754331,
,,1.131,-0.603,0.125,,51.8,0.352064,0.0192146,0.0192146,0.0227523,0.0227523,0.0112652,0.0144589,0.0144589,0.00488878,0.00488878,
,,1.131,-0.603,0.125,,82,0.155004,0.016645,0.016645,0.0143458,0.0143458,0.0272763,0.013544,0.013544,0.0118163,0.0118163,
,,1.131,-0.603,0.125,,97.1,0.0851452,0.00785534,0.00785534,0.00994675,0.00994675,0.0162461,0.00671038,0.00671038,0.00200056,0.00200056,
,,1.131,-0.603,0.125,,112.1,0.0902671,0.00872615,0.00872615,0.00895172,0.00895172,0.00306738,0.00731658,0.00731658,0.00295536,0.00295536,
,,1.132,-0.603,0.125,,127.2,0.0692883,0.00821155,0.00821155,0.0104882,0.0104882,-0.0063046,0.00686982,0.00686982,0.00275585,0.00275585,
,,1.132,-0.603,0.125,,142.3,0.0594447,0.00959979,0.00959979,0.00758292,0.00758292,-0.0175563,0.00897809,0.00897809,0.00334091,0.00334091,
,,1.132,-0.603,0.125,,157.4,0.0694979,0.00836366,0.00836366,0.00453562,0.00453562,-0.00759204,0.00690658,0.00690658,0.00349119,0.00349119,
,,1.132,-0.603,0.125,,172.5,0.0780492,0.012202,0.012202,0.00543417,0.00543417,0.0062807,0.0101605,0.0101605,0.00059002,0.00059002,
,,1.132,-0.603,0.125,,187.5,0.0549715,0.0101629,0.0101629,0.00650007,0.00650007,0.00247094,0.00886002,0.00886002,0.00665769,0.00665769,
,,1.132,-0.603,0.125,,202.6,0.0451041,0.00672662,0.00672662,0.00355275,0.00355275,0.00472038,0.00613866,0.00613866,0.00309626,0.00309626,
,,1.132,-0.603,0.125,,217.7,0.0612732,0.00656281,0.00656281,0.00646752,0.00646752,-0.00415004,0.0055308,0.0055308,0.00347244,0.00347244,
,,1.132,-0.603,0.125,,232.8,0.06267,0.0068332,0.0068332,0.00651844,0.00651844,0.00103701,0.00591265,0.00591265,0.0040529,0.0040529,
,,1.131,-0.603,0.125,,262.9,0.0960418,0.00958596,0.00958596,0.00765408,0.00765408,0.00378366,0.00797246,0.00797246,0.0025787,0.0025787,
,,1.131,-0.603,0.125,,278,0.185771,0.0150603,0.0150603,0.0135877,0.0135877,-0.0134792,0.0117167,0.0117167,0.00278463,0.00278463,
