bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,5.55,1.75,0.363,0.361,,232.5,,,,,,0.0365,0.0027,0.0027,,,
,5.55,1.75,0.363,0.361,,247.5,,,,,,0.041,0.0029,0.0029,,,
,5.55,1.75,0.363,0.361,,262.5,,,,,,0.045,0.003,0.003,,,
,5.55,1.75,0.363,0.361,,277.5,,,,,,0.0503,0.0032,0.0032,,,
,5.55,1.75,0.363,0.361,,292.5,,,,,,0.0527,0.0031,0.0031,,,
,5.55,1.75,0.363,0.361,,307.5,,,,,,0.0564,0.0032,0.0032,,,
,5.55,1.75,0.363,0.361,,322.5,,,,,,0.0703,0.0035,0.0035,,,
,5.55,1.75,0.363,0.361,,337.5,,,,,,0.0744,0.0042,0.0042,,,
,5.55,1.75,0.363,0.361,,352.5,,,,,,0.0867,0.0052,0.0052,,,
,5.55,1.98,0.182,0.357,,7.5,,,,,,0.0924,0.0048,0.0048,,,
,5.55,1.98,0.182,0.357,,22.5,,,,,,0.0928,0.0047,0.0047,,,
,5.55,1.98,0.182,0.357,,37.5,,,,,,0.0831,0.0043,0.0043,,,
,5.55,1.98,0.182,0.357,,52.5,,,,,,0.0757,0.0041,0.0041,,,
,5.55,1.98,0.182,0.357,,67.5,,,,,,0.0767,0.0041,0.0041,,,
,5.55,1.98,0.182,0.357,,82.5,,,,,,0.0676,0.0038,0.0038,,,
,5.55,1.98,0.182,0.357,,97.5,,,,,,0.0654,0.0036,0.0036,,,
,5.55,1.98,0.182,0.357,,112.5,,,,,,0.0588,0.0034,0.0034,,,
,5.55,1.98,0.182,0.357,,127.5,,,,,,0.0441,0.003,0.003,,,
,5.55,1.98,0.182,0.357,,142.5,,,,,,0.0426,0.0029,0.0029,,,
,5.55,1.98,0.182,0.357,,157.5,,,,,,0.0421,0.0028,0.0028,,,
,5.55,1.98,0.182,0.357,,172.5,,,,,,0.0431,0.0028,0.0028,,,
,5.55,1.98,0.182,0.357,,187.5,,,,,,0.0395,0.0028,0.0028,,,
,5.55,1.98,0.182,0.357,,202.5,,,,,,0.0436,0.0029,0.0029,,,
,5.55,1.98,0.182,0.357,,217.5,,,,,,0.0501,0.0031,0.0031,,,
,5.55,1.98,0.182,0.357,,232.5,,,,,,0.0471,0.0031,0.0031,,,
,5.55,1.98,0.182,0.357,,247.5,,,,,,0.0588,0.0035,0.0035,,,
,5.55,1.98,0.182,0.357,,262.5,,,,,,0.0637,0.0036,0.0036,,,
,5.55,1.98,0.182,0.357,,277.5,,,,,,0.067,0.0038,0.0038,,,
,5.55,1.98,0.182,0.357,,292.5,,,,,,0.0736,0.0041,0.0041,,,
,5.55,1.98,0.182,0.357,,307.5,,,,,,0.0841,0.0043,0.0043,,,
,5.55,1.98,0.182,0.357,,322.5,,,,,,0.0864,0.0045,0.0045,,,
,5.55,1.98,0.182,0.357,,337.5,,,,,,0.0966,0.0047,0.0047,,,
,5.55,1.98,0.182,0.357,,352.5,,,,,,0.0975,0.0048,0.0048,,,
,5.55,1.98,0.242,0.356,,7.5,,,,,,0.0958,0.0054,0.0054,,,
