set,index,k,q_squared,x_b,t,phi,F,sigma,sigma_stat_plus,F1,F2
5,21,5.75,1.999,0.381,-0.371,322.5,0.03960,0.00684,0.17273,0.49291,0.69902
5,22,5.75,1.999,0.381,-0.371,337.5,0.04490,0.00984,0.21915,0.49291,0.69902
5,23,5.75,1.999,0.381,-0.371,352.5,0.05950,0.01392,0.23395,0.49291,0.69902
6,0,5.75,2.218,0.345,-0.176,7.5,0.10430,0.00432,0.04142,0.67801,1.08216
6,1,5.75,2.218,0.345,-0.176,22.5,0.10860,0.00432,0.03978,0.67801,1.08216
6,2,5.75,2.218,0.345,-0.176,37.5,0.10030,0.00408,0.04068,0.67801,1.08216
6,3,5.75,2.218,0.345,-0.176,52.5,0.09120,0.00384,0.04211,0.67801,1.08216
6,4,5.75,2.218,0.345,-0.176,67.5,0.07680,0.00348,0.04531,0.67801,1.08216
6,5,5.75,2.218,0.345,-0.176,82.5,0.07300,0.00336,0.04603,0.67801,1.08216
6,6,5.75,2.218,0.345,-0.176,97.5,0.05650,0.00300,0.0531,0.67801,1.08216
6,7,5.75,2.218,0.345,-0.176,112.5,0.05570,0.00276,0.04955,0.67801,1.08216
6,8,5.75,2.218,0.345,-0.176,127.5,0.04900,0.00264,0.05388,0.67801,1.08216
6,9,5.75,2.218,0.345,-0.176,142.5,0.04700,0.00252,0.05362,0.67801,1.08216
6,10,5.75,2.218,0.345,-0.176,157.5,0.04110,0.00240,0.05839,0.67801,1.08216
6,11,5.75,2.218,0.345,-0.176,172.5,0.04160,0.00240,0.05769,0.67801,1.08216
6,12,5.75,2.218,0.345,-0.176,187.5,0.03850,0.00228,0.05922,0.67801,1.08216
6,13,5.75,2.218,0.345,-0.176,202.5,0.04110,0.00228,0.05547,0.67801,1.08216
6,14,5.75,2.218,0.345,-0.176,217.5,0.04530,0.00252,0.05563,0.67801,1.08216
6,15,5.75,2.218,0.345,-0.176,232.5,0.05130,0.00264,0.05146,0.67801,1.08216
6,16,5.75,2.218,0.345,-0.176,247.5,0.05330,0.00276,0.05178,0.67801,1.08216
6,17,5.75,2.218,0.345,-0.176,262.5,0.06220,0.00300,0.04823,0.67801,1.08216
6,18,5.75,2.218,0.345,-0.176,277.5,0.07000,0.00324,0.04629,0.67801,1.08216
