bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,3.53,1.633,0.37,0.399,,82.5,,,,,,0.0069,0.0049,0.0049,0.0006,0.0022,
,3.53,1.633,0.37,0.399,,97.5,,,,,,0.0189,0.0047,0.0047,0.0014,0.0023,
,3.53,1.633,0.37,0.399,,112.5,,,,,,0.0022,0.0047,0.0047,0.0048,0.0008,
,3.53,1.633,0.37,0.399,,127.5,,,,,,0.0071,0.0058,0.0058,0.0003,0.0072,
,3.53,1.633,0.37,0.399,,142.5,,,,,,-0.0015,0.0071,0.0071,0.0044,0.0028,
,3.53,1.633,0.37,0.399,,157.5,,,,,,0.0091,0.0109,0.0109,0.0035,0.004,
,3.53,1.633,0.37,0.399,,172.5,,,,,,-0.0183,0.0235,0.0235,0,0.0341,
,3.53,1.633,0.37,0.399,,187.5,,,,,,-0.0281,0.0155,0.0155,0.0056,0.007,
,3.53,1.633,0.37,0.399,,202.5,,,,,,0.0006,0.009,0.009,0,0.0081,
,3.53,1.633,0.37,0.399,,217.5,,,,,,0.0001,0.0074,0.0074,0.0023,0.0008,
,3.53,1.633,0.37,0.399,,232.5,,,,,,-0.0019,0.0056,0.0056,0.0023,0.0002,
,3.53,1.633,0.37,0.399,,247.5,,,,,,-0.0109,0.0051,0.0051,0.0008,0.0013,
,3.53,1.633,0.37,0.399,,262.5,,,,,,-0.0055,0.0046,0.0046,0.0003,0.0051,
,3.53,1.633,0.37,0.399,,277.5,,,,,,-0.0058,0.0049,0.0049,0.0009,0.0005,
,3.53,1.633,0.37,0.399,,292.5,,,,,,-0.0117,0.0061,0.0061,0.0092,0,
,3.53,1.633,0.37,0.399,,307.5,,,,,,-0.0117,0.0078,0.0078,0.0026,0.0009,
,3.53,1.633,0.37,0.399,,322.5,,,,,,-0.0149,0.0117,0.0117,0.0067,0.0005,
,3.53,1.633,0.37,0.399,,337.5,,,,,,-0.0287,0.0201,0.0201,0.0161,0.0006,
,3.53,1.633,0.37,0.399,,352.5,,,,,,-0.0435,0.0231,0.0231,0.0082,0,
