bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,Helc_diff_D^4_sigma (nb/Gev^4),Helc_diff_D^4_sigma_stat_plus,Helc_diff_D^4_sigma_stat_minus,Helc_diff_D^4_sigma_sys_plus,Helc_diff_D^4_sigma_sys_minus,link
,,1.131,0.446,0.125,,247.8,,,,,,-0.010778,0.012004,0.012004,0.00795159,0.00795159,
,,1.131,0.446,0.125,,262.9,,,,,,-0.0369278,0.0141503,0.0141503,0.00356073,0.00356073,
,,1.131,0.446,0.125,,278,,,,,,-0.0330602,0.0146186,0.0146186,0.00395372,0.00395372,
,,1.13,0.446,0.125,,293.1,,,,,,-0.0879626,0.0172739,0.0172739,0.00642597,0.00642597,
,,1.13,0.446,0.125,,308.2,,,,,,-0.0426315,0.0290605,0.0290605,0.0219681,0.0219681,
,,1.126,0.451,0.125,,322.5,,,,,,-0.0897167,0.0753662,0.0753662,0.0257915,0.0257915,
,,1.125,0.615,0.125,,22.9,,,,,,0.116021,0.0520797,0.0520797,0.0139754,0.0139754,
,,1.131,0.602,0.126,,36.7,,,,,,0.0227332,0.0157149,0.0157149,0.00754331,0.00754331,
,,1.131,0.603,0.125,,51.8,,,,,,0.0112652,0.0144589,0.0144589,0.00488878,0.00488878,
,,1.131,0.603,0.125,,82,,,,,,0.0272763,0.013544,0.013544,0.0118163,0.0118163,
,,1.131,0.603,0.125,,97.1,,,,,,0.0162461,0.00671038,0.00671038,0.00200056,0.00200056,
,,1.131,0.603,0.125,,112.1,,,,,,0.00306738,0.00731658,0.00731658,0.00295536,0.00295536,
,,1.132,0.603,0.125,,127.2,,,,,,-0.0063046,0.00686982,0.00686982,0.00275585,0.00275585,
,,1.132,0.603,0.125,,142.3,,,,,,-0.0175563,0.00897809,0.00897809,0.00334091,0.00334091,
,,1.132,0.603,0.125,,157.4,,,,,,-0.00759204,0.00690658,0.00690658,0.00349119,0.00349119,
,,1.132,0.603,0.125,,172.5,,,,,,0.0062807,0.0101605,0.0101605,0.00059002,0.00059002,
