bin,k,q_squared,t,x_b,w,phi,sigma,sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,BSA,BSA_stat_plus,BSA_stat_minus,BSA_sys_plus,BSA_sys_minus,TSA,TSA_stat_plus,TSA_stat_minus,TSA_sys_plus,TSA_sys_minus,cAUT,DSA,DSA_stat_plus,DSA_stat_minus,DSA_sys_plus,DSA_sys_minus,cALT,link
,,1.79,1.03,0.252,,164,,,,,,0.03,0.05,0.05,0.01,0.01,0.16,0.06,0.06,0.02,0.02,0.0066,0.4,0.06,0.06,0.01,0.01,0.0062,
,,1.78,1.03,0.254,,195,,,,,,-0.03,0.07,0.07,0.02,0.02,-0.09,0.08,0.08,0.03,0.03,-0.0056,0.34,0.09,0.09,0.03,0.03,0.0055,
,,1.84,1.23,0.257,,238,,,,,,-0.05,0.08,0.08,0.02,0.02,-0.3,0.11,0.11,0.04,0.04,-0.0145,0.34,0.12,0.12,0.05,0.05,0.0039,
,,1.75,1.14,0.257,,270,,,,,,-0.02,0.05,0.05,0.02,0.02,-0.26,0.07,0.07,0.04,0.04,-0.0169,0.21,0.07,0.07,0.02,0.02,-0.0018,
,,2.01,1.12,0.26,,307,,,,,,-0.07,0.07,0.07,0.01,0.01,-0.2,0.08,0.08,0.02,0.02,-0.0068,0.56,0.09,0.09,0.04,0.04,0.0005,
,,2.03,1.4,0.261,,343,,,,,,0,0.04,0.04,0.01,0.01,0.02,0.05,0.05,0.02,0.02,0.0018,0.36,0.06,0.06,0.02,0.02,0.0051,
,,2.45,0.13,0.265,,20,,,,,,-0.02,0.04,0.04,0.01,0.01,0.02,0.05,0.05,0.01,0.01,-0.0002,0.76,0.06,0.06,0.02,0.02,0.0271,
,,2.36,0.14,0.253,,53,,,,,,0.07,0.05,0.05,0.02,0.02,0.01,0.05,0.05,0.02,0.02,0.0018,0.62,0.06,0.06,0.04,0.04,0.0211,
,,2.32,0.14,0.249,,88,,,,,,0.17,0.05,0.05,0.01,0.01,-0.01,0.07,0.07,0.01,0.01,0.0071,0.76,0.07,0.07,0.02,0.02,0.0125,
,,2.3,0.14,0.246,,125,,,,,,0.2,0.08,0.08,0.02,0.02,0.14,0.1,0.1,0.01,0.01,0.0109,0.61,0.11,0.11,0.03,0.03,-0.0021,
,,2.26,0.14,0.242,,162,,,,,,0.2,0.1,0.1,0.03,0.03,0.25,0.12,0.12,0.05,0.05,0.0064,0.81,0.13,0.13,0.04,0.04,-0.0117,
,,2.27,0.14,0.242,,199,,,,,,-0.07,0.09,0.09,0.04,0.04,0.07,0.1,0.1,0.04,0.04,-0.0044,0.81,0.11,0.11,0.05,0.05,-0.0116,
,,2.28,0.14,0.243,,237,,,,,,-0.29,0.07,0.07,0.02,0.02,-0.17,0.09,0.09,0.02,0.02,-0.011,0.84,0.09,0.09,0.02,0.02,-0.0007,
,,2.32,0.14,0.248,,271,,,,,,-0.22,0.06,0.06,0.02,0.02,-0.15,0.07,0.07,0.01,0.01,-0.0082,0.75,0.07,0.07,0.02,0.02,0.0124,
,,2.36,0.14,0.253,,307,,,,,,-0.14,0.04,0.04,0.01,0.01,-0.1,0.05,0.05,0.01,0.01,-0.0023,0.56,0.06,0.06,0.02,0.02,0.0206,
,,2.45,0.14,0.265,,340,,,,,,-0.01,0.05,0.05,0.02,0.02,-0.07,0.06,0.06,0.02,0.02,-0.0002,0.67,0.07,0.07,0.03,0.03,0.0265,
,,2.57,0.22,0.281,,24,,,,,,0.03,0.08,0.08,0.02,0.02,0.03,0.09,0.09,0.03,0.03,-0.0008,0.55,0.1,0.1,0.02,0.02,0.013,
,,2.5,0.23,0.269,,53,,,,,,0.11,0.05,0.05,0.02,0.02,0.09,0.06,0.06,0.02,0.02,0.0031,0.68,0.07,0.07,0.05,0.05,0.0122,
,,2.4,0.23,0.258,,90,,,,,,0.19,0.06,0.06,0.02,0.02,0.07,0.08,0.08,0.01,0.01,0.0111,0.58,0.09,0.09,0.03,0.03,0.0076,
,,2.35,0.23,0.252,,126,,,,,,0.16,0.09,0.09,0.02,0.02,0.1,0.11,0.11,0.02,0.02,0.015,0.55,0.12,0.12,0.03,0.03,0.0014,
,,2.36,0.23,0.254,,161,,,,,,0.1,0.1,0.1,0.03,0.03,-0.18,0.12,0.12,0.02,0.02,0.0057,0.39,0.14,0.14,0.07,0.07,-0.0045,
,,2.37,0.23,0.254,,199,,,,,,0.02,0.09,0.09,0.02,0.02,0.15,0.11,0.11,0.01,0.01,-0.0059,0.7,0.11,0.11,0.06,0.06,-0.0026,
,,2.36,0.23,0.254,,236,,,,,,-0.17,0.08,0.08,0.02,0.02,-0.23,0.1,0.1,0.02,0.02,-0.016,0.63,0.11,0.11,0.03,0.03,0.0019,
,,2.42,0.23,0.26,,270,,,,,,-0.23,0.06,0.06,0.03,0.03,-0.14,0.08,0.08,0.02,0.02,-0.0118,0.61,0.09,0.09,0.04,0.04,0.0079,
,,2.48,0.23,0.266,,308,,,,,,-0.15,0.05,0.05,0.02,0.02,-0.21,0.06,0.06,0.01,0.01,-0.0039,0.59,0.07,0.07,0.02,0.02,0.0115,
,,2.56,0.22,0.279,,336,,,,,,-0.01,0.07,0.07,0.01,0.01,-0.09,0.08,0.08,0.02,0.02,0.0001,0.49,0.1,0.1,0.03,0.03,0.0127,
,,2.6,0.41,0.284,,31,,,,,,-0.18,0.22,0.22,0.09,0.09,-0.01,0.23,0.23,0.06,0.06,0,0.01,0.31,0.31,0.11,0.11,-0.0045,
,,2.55,0.44,0.275,,52,,,,,,0.17,0.06,0.06,0.01,0.01,0.07,0.07,0.07,0.02,0.02,0.0055,0.54,0.08,0.08,0.05,0.05,0.0003,
,,2.45,0.44,0.264,,91,,,,,,0.2,0.07,0.07,0.02,0.02,0.04,0.08,0.08,0.04,0.04,0.0157,0.59,0.09,0.09,0.03,0.03,0.0022,
,,2.37,0.44,0.254,,122,,,,,,0.23,0.1,0.1,0.03,0.03,0.15,0.12,0.12,0.01,0.01,0.0188,0.69,0.13,0.13,0.03,0.03,0.0043,
,,2.33,0.41,0.25,,159,,,,,,-0.15,0.13,0.13,0.04,0.04,-0.24,0.16,0.16,0.04,0.04,0.0063,0.59,0.18,0.18,0.04,0.04,0.0043,
,,2.36,0.41,0.253,,199,,,,,,-0.02,0.12,0.12,0.04,0.04,0,0.14,0.14,0.03,0.03,-0.0079,0.59,0.16,0.16,0.04,0.04,0.0044,
,,2.36,0.43,0.254,,235,,,,,,-0.28,0.1,0.1,0.03,0.03,-0.05,0.12,0.12,0.03,0.03,-0.0184,0.71,0.13,0.13,0.04,0.04,0.0045,
,,2.43,0.45,0.261,,270,,,,,,-0.26,0.07,0.07,0.02,0.02,-0.12,0.09,0.09,0.03,0.03,-0.0161,0.6,0.1,0.1,0.02,0.02,0.0023,
,,2.54,0.45,0.274,,307,,,,,,-0.24,0.07,0.07,0.03,0.03,-0.22,0.08,0.08,0.03,0.03,-0.0065,0.43,0.09,0.09,0.05,0.05,-0.0004,
,,2.61,0.42,0.284,,330,,,,,,-0.15,0.19,0.19,0.07,0.07,-0.03,0.18,0.18,0.03,0.03,0.0004,0.59,0.27,0.27,0.14,0.14,0,
,,2.43,1.22,0.261,,20,,,,,,-0.01,0.08,0.08,0.02,0.02,0.08,0.09,0.09,0.01,0.01,0.0007,0.3,0.11,0.11,0.02,0.02,-0.0068,
,,2.45,1.06,0.265,,52,,,,,,0.14,0.09,0.09,0.03,0.03,0,0.11,0.11,0.03,0.03,0.0034,0.6,0.12,0.12,0.02,0.02,-0.0035,
,,2.37,0.96,0.255,,88,,,,,,0.18,0.2,0.2,0.12,0.12,0.21,0.22,0.22,0.05,0.05,0.0085,0.65,0.26,0.26,0.07,0.07,0.0004,
,,2.43,0.96,0.261,,273,,,,,,-0.31,0.17,0.17,0.05,0.05,0.09,0.2,0.2,0.08,0.08,-0.0069,0.49,0.23,0.23,0.06,0.06,0.0006,
,,2.44,1.08,0.262,,308,,,,,,-0.16,0.1,0.1,0.04,0.04,-0.04,0.11,0.11,0.03,0.03,-0.0037,0.45,0.13,0.13,0.05,0.05,0.0045,
,,2.46,1.23,0.265,,340,,,,,,-0.04,0.07,0.07,0.02,0.02,-0.09,0.09,0.09,0.01,0.01,-0.0007,0.44,0.1,0.1,0.03,0.03,0.0059,
,,2.55,0.16,0.319,,19,,,,,,0.13,0.05,0.05,0.02,0.02,0.07,0.07,0.07,0.01,0.01,0.002,0.73,0.07,0.07,0.06,0.06,0.0546,
,,2.5,0.16,0.319,,50,,,,,,0.25,0.07,0.07,0.03,0.03,0.1,0.09,0.09,0.01,0.01,0.0045,0.6,0.1,0.1,0.06,0.06,0.0513,
,,2.53,0.16,0.32,,88,,,,,,0.37,0.14,0.14,0.08,0.08,0.16,0.17,0.17,0.03,0.03,0.0066,0.74,0.19,0.19,0.05,0.05,0.0464,
,,2.55,0.16,0.317,,240,,,,,,-0.13,0.22,0.22,0.01,0.01,-0.19,0.26,0.26,0.05,0.05,-0.0064,0.55,0.29,0.29,0.03,0.03,0.0345,
